iter	Logloss
0	0.6889755546
1	0.6858815982
2	0.683157276
3	0.6791980698
4	0.6752071768
5	0.6724484885
6	0.66955289
7	0.6659946498
8	0.6624512118
9	0.6597928186
10	0.6572369342
11	0.6540999344
12	0.6510843814
13	0.6480386171
14	0.6450413499
15	0.6422374971
16	0.6392823865
17	0.6363166026
18	0.6344860863
19	0.631759879
20	0.6301250716
21	0.6283100754
22	0.6262295302
23	0.6244468866
24	0.6228344256
25	0.6205175922
26	0.6179278087
27	0.6158399586
28	0.613538106
29	0.6120016739
30	0.6102214482
31	0.6079798271
32	0.6061324909
33	0.6038863277
34	0.6016407714
35	0.5996100888
36	0.5977680315
37	0.595768616
38	0.593741193
39	0.5919915889
40	0.5905692517
41	0.5892512911
42	0.5878472307
43	0.5865478206
44	0.5853083511
45	0.5836293427
46	0.5817958706
47	0.5801293427
48	0.5789199076
49	0.5778325569
50	0.5762610163
51	0.5750038777
52	0.5740484666
53	0.5724852968
54	0.5711215147
55	0.570083102
56	0.5690411539
57	0.5675215193
58	0.5661044612
59	0.5652053037
60	0.5640205389
61	0.5630085884
62	0.5615980958
63	0.5602374424
64	0.5592168142
65	0.5581817331
66	0.5574417983
67	0.5562856014
68	0.5554635019
69	0.5546267788
70	0.5539192841
71	0.5532886323
72	0.5524695428
73	0.5516268839
74	0.5505299227
75	0.549789527
76	0.5487746335
77	0.5479600989
78	0.5472171663
79	0.5463645135
80	0.545337598
81	0.544758453
82	0.5437996311
83	0.5428143291
84	0.5418452222
85	0.541202266
86	0.5405085315
87	0.5399709792
88	0.5393019852
89	0.5386485609
90	0.5380511446
91	0.5374001732
92	0.5365887864
93	0.5358178416
94	0.5349979982
95	0.5344395029
96	0.5338262754
97	0.5330204512
98	0.532508616
99	0.531820101
100	0.5310216194
101	0.5304348853
102	0.5300344624
103	0.5295696453
104	0.5287781357
105	0.5281989898
106	0.5274455115
107	0.5271307801
108	0.5266123832
109	0.526040449
110	0.5256141527
111	0.5250504662
112	0.524573483
113	0.5241521048
114	0.5235403983
115	0.5228509694
116	0.5223776651
117	0.5219081201
118	0.5214875848
119	0.5210223695
120	0.5205465299
121	0.5200571703
122	0.5193872455
123	0.5187316922
124	0.5183297319
125	0.5179011405
126	0.5175230625
127	0.5171410095
128	0.5168979982
129	0.5164683888
130	0.5160805786
131	0.5158209321
132	0.5153741181
133	0.515070397
134	0.5147201925
135	0.5143598972
136	0.5141091832
137	0.513619631
138	0.5131979543
139	0.5128004995
140	0.5124266874
141	0.5119627253
142	0.5117968155
143	0.5113482828
144	0.5109074465
145	0.5105138301
146	0.5100685965
147	0.5097554956
148	0.5094260815
149	0.509070349
150	0.5087903944
151	0.50835093
152	0.5079660027
153	0.5076122636
154	0.5071416828
155	0.506835945
156	0.5063786643
157	0.5059797298
158	0.5056774397
159	0.5051586318
160	0.5048752279
161	0.5045837517
162	0.504355759
163	0.5039249507
164	0.5037179646
165	0.5031630093
166	0.5029150375
167	0.502548355
168	0.5022451571
169	0.5018756105
170	0.5015093087
171	0.5012295648
172	0.5009957224
173	0.500725156
174	0.5004949595
175	0.5002806468
176	0.5000621707
177	0.4996838358
178	0.499193775
179	0.4989369773
180	0.4987824708
181	0.4984030163
182	0.4981453688
183	0.497763135
184	0.4974607812
185	0.4970802797
186	0.4966564666
187	0.4964243679
188	0.4962131852
189	0.4959714852
190	0.4957499565
191	0.4953590938
192	0.4951072165
193	0.4948903787
194	0.4947033052
195	0.4945243187
196	0.4943865869
197	0.4942611412
198	0.4939143702
199	0.4936271825
200	0.4933793724
201	0.4930544158
202	0.4927848717
203	0.492596919
204	0.4923619614
205	0.4921950323
206	0.49192779
207	0.4917451059
208	0.4914159583
209	0.4912441812
210	0.490946939
211	0.4908245363
212	0.4904996466
213	0.4901516207
214	0.4900003067
215	0.4897133961
216	0.4895187781
217	0.4892905834
218	0.4891257209
219	0.4889892002
220	0.4886813519
221	0.4883110843
222	0.4881467922
223	0.4879486258
224	0.4878079542
225	0.4874539751
226	0.4872847357
227	0.4871052621
228	0.4868484069
229	0.48676201
230	0.4865042268
231	0.4863406406
232	0.4861597043
233	0.4858955727
234	0.4857066136
235	0.4853779855
236	0.4851685856
237	0.4849542361
238	0.4846529742
239	0.4845385293
240	0.4842906433
241	0.4842155476
242	0.4839872881
243	0.4837281854
244	0.4835368066
245	0.4833822579
246	0.4830552387
247	0.4829065955
248	0.4827551882
249	0.4825817596
250	0.4824761214
251	0.4823216869
252	0.4820855151
253	0.4818397331
254	0.4815244768
255	0.4814341838
256	0.4812778852
257	0.4810488935
258	0.4809917949
259	0.4807911594
260	0.4804900356
261	0.4803251425
262	0.4801898474
263	0.4799524212
264	0.4796743779
265	0.4793848561
266	0.4791239029
267	0.4788623674
268	0.4787384107
269	0.4786198309
270	0.4785231347
271	0.47835815
272	0.4781269351
273	0.4780276597
274	0.4779031112
275	0.477782095
276	0.477569266
277	0.4774114316
278	0.4772552645
279	0.4770489764
280	0.4769239211
281	0.4768011549
282	0.4765660676
283	0.4764362099
284	0.4761914128
285	0.4761358511
286	0.4760231258
287	0.4757674535
288	0.4755396103
289	0.4752587122
290	0.4750843443
291	0.4749810137
292	0.4748255937
293	0.474713059
294	0.4745946083
295	0.4744749052
296	0.4744042423
297	0.4742410532
298	0.474089649
299	0.4740196073
300	0.4739226527
301	0.4738418272
302	0.4737226871
303	0.4734847347
304	0.4734094667
305	0.4732403355
306	0.4730863979
307	0.4728911134
308	0.4726742211
309	0.4724568586
310	0.4723225228
311	0.472224081
312	0.472057789
313	0.4719447734
314	0.471870117
315	0.4717402953
316	0.4716361687
317	0.4715672148
318	0.4714804905
319	0.4713781591
320	0.4713194996
321	0.4712364592
322	0.4710263016
323	0.4709196467
324	0.4708317145
325	0.4706807538
326	0.4705969528
327	0.4703900011
328	0.4702749049
329	0.4701913911
330	0.4700820617
331	0.4698669774
332	0.4698030489
333	0.4697057519
334	0.469524391
335	0.4694722486
336	0.4694015184
337	0.4693364514
338	0.4692376569
339	0.4690696018
340	0.468998561
341	0.468942268
342	0.4687542093
343	0.4686835625
344	0.4684998688
345	0.4684528823
346	0.4683218602
347	0.4682591102
348	0.4681385107
349	0.4679445839
350	0.4678301647
351	0.4677444887
352	0.4676280708
353	0.4674537948
354	0.4673590827
355	0.4672512814
356	0.4671616406
357	0.4669770962
358	0.4667996293
359	0.4667041408
360	0.4666340183
361	0.4665517489
362	0.4664227286
363	0.4663029908
364	0.4661454752
365	0.4659521531
366	0.4658044773
367	0.4657227655
368	0.4656648406
369	0.465566226
370	0.4654414711
371	0.4653332298
372	0.4651417423
373	0.4650712485
374	0.4649694819
375	0.4648263397
376	0.4647735065
377	0.464610208
378	0.4644756708
379	0.4643793026
380	0.4642882735
381	0.4641106338
382	0.4640569731
383	0.4640179129
384	0.4639189176
385	0.4638140135
386	0.4637765338
387	0.4636900944
388	0.4635085595
389	0.463463947
390	0.4634159726
391	0.4632331446
392	0.4631756118
393	0.463118052
394	0.4630103441
395	0.4629591493
396	0.462898557
397	0.4627975134
398	0.4627420678
399	0.4626274074
400	0.4624729676
401	0.4624145173
402	0.4623725981
403	0.4622879071
404	0.4622199763
405	0.4621525589
406	0.4620395801
407	0.4619262479
408	0.4618613206
409	0.4618185319
410	0.461608533
411	0.4615660102
412	0.4613910627
413	0.4612693161
414	0.4611432158
415	0.461097245
416	0.4610405492
417	0.4609447871
418	0.4608083505
419	0.4607656815
420	0.4606694262
421	0.4605319556
422	0.4604322077
423	0.4603510672
424	0.4602595382
425	0.4601758981
426	0.460018112
427	0.4599743168
428	0.4599139635
429	0.4598549663
430	0.4598201703
431	0.4597629611
432	0.4597000747
433	0.4596476281
434	0.4595914984
435	0.4595493185
436	0.4594714997
437	0.4593759345
438	0.4593020319
439	0.4592247334
440	0.4591516304
441	0.4591066746
442	0.4590541663
443	0.458847606
444	0.4587996598
445	0.458746112
446	0.4586498834
447	0.4586111961
448	0.4585512862
449	0.4585372394
450	0.4584968757
451	0.4583592721
452	0.4583128225
453	0.4581944016
454	0.458110104
455	0.458076525
456	0.458042897
457	0.4579070672
458	0.4578636394
459	0.4578039593
460	0.4577633833
461	0.4576737203
462	0.4576114382
463	0.4575169942
464	0.457475351
465	0.4573684597
466	0.4573070418
467	0.4571991624
468	0.4571759429
469	0.4571196461
470	0.4570172029
471	0.4569351344
472	0.456867473
473	0.4568204327
474	0.4567948816
475	0.4567521518
476	0.456715331
477	0.4566765648
478	0.456591153
479	0.4565437809
480	0.4564910843
481	0.4564146061
482	0.4563815453
483	0.4563525123
484	0.456297895
485	0.4561941361
486	0.4561043339
487	0.4560789625
488	0.4559200378
489	0.4558330613
490	0.4556710622
491	0.4556337055
492	0.455552341
493	0.4554252653
494	0.4553923194
495	0.4553194011
496	0.4552569304
497	0.4551232029
498	0.4550516308
499	0.4550061154
500	0.4549378006
501	0.4549043939
502	0.4548478737
503	0.4547849856
504	0.4547024562
505	0.4546507496
506	0.4546086617
507	0.4545638586
508	0.4545131696
509	0.4544034039
510	0.4543815084
511	0.4543379384
512	0.4542823499
513	0.4542436073
514	0.4542210903
515	0.4541459559
516	0.4540702122
517	0.4539856837
518	0.4538761775
519	0.4537396016
520	0.4536857562
521	0.453553334
522	0.4535198883
523	0.4534830261
524	0.4534428207
525	0.4533911323
526	0.4533481456
527	0.4532737441
528	0.4532191781
529	0.4531635338
530	0.4531248938
531	0.4530986877
532	0.4530566947
533	0.4530179837
534	0.4528916376
535	0.45285877
536	0.4527976344
537	0.4527510277
538	0.4526991816
539	0.4526382746
540	0.4526109529
541	0.4525746897
542	0.4525412388
543	0.452475398
544	0.4524523355
545	0.4523455791
546	0.4522651068
547	0.4521816637
548	0.4521437846
549	0.4520579674
550	0.4520455105
551	0.4519959167
552	0.4519512936
553	0.451883825
554	0.4518222641
555	0.4517895236
556	0.4517196393
557	0.4516666167
558	0.4516366629
559	0.4515582043
560	0.4514408558
561	0.4513978859
562	0.451262841
563	0.4512289973
564	0.4511809792
565	0.4511627453
566	0.4511236835
567	0.4510813082
568	0.4510029141
569	0.4509211622
570	0.4508881018
571	0.4508586261
572	0.4508173168
573	0.450723726
574	0.4506745272
575	0.4506244002
576	0.4506020922
577	0.4505742836
578	0.4505401611
579	0.4504880459
580	0.4504647155
581	0.4504282884
582	0.4503504071
583	0.4503019569
584	0.4502543155
585	0.4502164174
586	0.4501359947
587	0.450050684
588	0.4500136138
589	0.4499404978
590	0.4497833482
591	0.4497185469
592	0.4496394577
593	0.4495741359
594	0.4495354598
595	0.4494823309
596	0.4494379578
597	0.449394874
598	0.4493650706
599	0.4493426041
